Sample Id,"Ni 341,476
(mg/L)","Ni 221,648
(mg/L)","Ni 231,604
(mg/L)","Mn 257,610
(mg/L)","Mn 259,372
(mg/L)","Mn 260,568
(mg/L)","Co 238,892
(mg/L)","Co 236,380
(mg/L)","Co 230,786
(mg/L)","Li 670,784
(mg/L)","Li 610,362
(mg/L)","Li 460,286
(mg/L)","Mg 280,271
(mg/L)","Mg 279,077
(mg/L)","Mg 285,213
(mg/L)","Na 589,592
(mg/L)","Na 588,995
(mg/L)","Ca 422,673
(mg/L)","Ca 317,933
(mg/L)","Al 394,401
(mg/L)","Al 308,215
(mg/L)","Al 396,153
(mg/L)","Fe 238,204
(mg/L)","Fe 259,939
(mg/L)","Cu 324,752
(mg/L)","Cu 327,393
(mg/L)","Cr 267,716
(mg/L)","Cr 283,563
(mg/L)","K 766,490
(mg/L)","K 404,721
(mg/L)","Pb 220,353
(mg/L)","Pb 217,000
(mg/L)","Ti 334,940
(mg/L)","Ti 336,121
(mg/L)","Ti 337,279
(mg/L)","Zn 206,200
(mg/L)","Zn 213,857
(mg/L)"
Na4-k6 BM d1000,0.936,0.950,0.966,0.109,0.108,0.110,0.117,0.108,0.118,0.057,0.050,0.050,0.000,0.003,0.002,0.006,0.011,0.001,-0.004,0.003,0.043,0.004,0.004,0.001,0.001,0.001,0.003,0.008,0.006,0.000,0.003,-0.015,0.003,0.004,0.003,0.001,0.003
Na6-k4 BM d1000,0.895,0.910,0.928,0.105,0.103,0.105,0.114,0.103,0.113,0.054,0.047,0.055,0.000,0.000,0.002,0.006,0.011,0.006,0.000,0.004,0.037,0.004,0.004,0.002,0.001,0.001,0.003,0.008,0.005,0.000,0.003,-0.015,0.002,0.004,0.003,0.001,0.003
Na1-k1 BM d1000,1.135,1.151,1.172,0.132,0.130,0.133,0.142,0.131,0.141,0.070,0.064,0.060,0.000,0.002,0.002,0.007,0.012,0.006,0.001,0.004,0.039,0.004,0.004,0.002,0.001,0.001,0.003,0.008,0.010,0.000,0.002,-0.015,0.002,0.004,0.003,0.000,0.005
Na1-k1 d1000,1.217,1.237,1.259,0.141,0.139,0.142,0.152,0.141,0.151,0.076,0.071,0.073,0.000,0.003,0.002,0.009,0.013,0.003,-0.002,0.004,0.040,0.004,0.004,0.002,0.001,0.002,0.003,0.008,0.011,0.000,0.003,-0.015,0.002,0.004,0.003,0.001,0.005
Na6-k4 d1000,0.771,0.780,0.794,0.090,0.089,0.090,0.096,0.087,0.096,0.047,0.041,0.040,0.000,0.001,0.002,0.007,0.012,0.002,-0.003,0.004,0.039,0.004,0.004,0.002,0.001,0.001,0.003,0.008,0.007,0.000,0.004,-0.017,0.002,0.004,0.003,0.000,0.002
Na4-k6 d1000,0.794,0.813,0.821,0.093,0.091,0.093,0.100,0.091,0.100,0.053,0.046,0.052,0.000,0.001,0.002,0.010,0.014,0.004,-0.001,0.004,0.040,0.004,0.004,0.002,0.002,0.002,0.003,0.008,0.008,0.000,0.003,-0.009,0.002,0.004,0.003,0.000,0.002
lavage Na4-k6 d100,0.004,0.003,0.000,0.001,0.002,0.002,0.002,-0.007,0.001,0,11.004,9.336,0.001,0.002,0.003,0,0,0.010,0.001,0.004,0.049,0.004,0.008,0.007,0.001,0.001,0.010,0.016,0,0.000,0.001,-0.025,0.004,0.004,0.004,0.000,-0.002
